Bitcoin,Ethereum,Litecoin,Yuan,Euro,Pound,Gold,Oil,SP
8004.59,334.549988,71.290001,6.6373,0.85,0.7593,1279.14,56.21,2583.959961
8336.86,372.820007,73.160004,6.6422,0.853,0.7583,1289.09,56.21,2584.639893
8348.66,372.869995,72.849998,6.6451,0.8538,0.7571,1277.14,56.84,2601.189941
8302.26,381.609985,72.040001,6.6343,0.8525,0.7569,1279,57.88,2600.939941
8374.16,478.380005,77.610001,6.6085,0.8448,0.7531,1288.68,58.94,2604.209961
9818.35,489.429993,93.110001,6.6071,0.8407,0.7514,1286.84,58.1,2606.409912
10125.7,478.459991,94.529999,6.612,0.8456,0.7564,1291.15,57.96,2627.689941
11517.4,515.440002,103.029999,6.6118,0.8462,0.7498,1292.25,57.25,2634.889893
10801,460.809998,92.230003,6.6212,0.8468,0.7459,1280.95,57.4,2657.73999
11046.7,467.220001,100.220001,6.6193,0.8438,0.7439,1273.01,58.35,2650.620117
11657.2,472.160004,103.949997,6.6212,0.8455,0.7452,1271.9,57.48,2665.189941
12032,467.839996,103.910004,6.62,0.8475,0.7479,1273.16,57.66,2648.719971
14369.1,456.869995,103,6.6208,0.8489,0.7487,1263.82,55.79,2634.409912
17899.7,434.850006,99.809998,6.6212,0.8496,0.7508,1259.17,56.5,2640.98999
18353.4,461.100006,136.399994,6.6219,0.8525,0.7489,1245.7,57.15,2651.649902
